name,prompt,negative_prompt,
____*Negative Prompts Only____,,,,
Default_Negative,,"canvas frame, (high contrast:1.2), (over saturated:1.2), (glossy:1.1), cartoon, 3d, ((disfigured)), ((bad art)), ((b&w)), blurry, ((bad anatomy)), (((bad proportions))), ((extra limbs)), cloned face, (((disfigured))), extra limbs, (bad anatomy), gross proportions, (malformed limbs), ((missing arms)), ((missing legs)), (((extra arms))), (((extra legs))), mutated hands, (fused fingers), (too many fingers), (((long neck))), Photoshop, video game, ugly, tiling, poorly drawn hands, 3d render",
Default_Negative (sfw),,"NSFW, Cleavage, Pubic Hair, Nudity, Naked, Au naturel, Watermark, Text, censored, deformed, bad anatomy, disfigured, poorly drawn face, mutated, extra limb, ugly, poorly drawn hands, missing limb, floating limbs, disconnected limbs, disconnected head, malformed hands, long neck, mutated hands and fingers, bad hands, missing fingers, cropped, worst quality, low quality, mutation, poorly drawn, huge calf, bad hands, fused hand, missing hand, disappearing arms, disappearing thigh, disappearing calf, disappearing legs, missing fingers, fused fingers, abnormal eye proportion, Abnormal hands, abnormal legs, abnormal feet,  abnormal fingers",
Default_Negative (Low Token),,"lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry",
____Positive Prompts Only____,,,,
Ghibli,"(Studio ghibli style, Art by Hayao Miyazaki:1.2), Anime Style, Manga Style, Hand drawn, cinematic, Sharp focus, humorous illustration, big depth of field, Masterpiece, concept art, trending on artstation, Vivid colors, Simplified style, trending on ArtStation, trending on CGSociety, Intricate, Vibrant colors, Soft Shading, Simplistic Features, Sharp Angles, Playful",,
Vector Illustrations,"Vector art, Vivid colors, Clean lines, Sharp edges, Minimalist, Precise geometry, Simplistic, Smooth curves, Bold outlines, Crisp shapes, Flat colors, Illustration art piece, High contrast shadows, Technical illustration, Graphic design, Vector graphics, High contrast, Precision artwork, Linear compositions, Scalable artwork, Digital art",,
Digital/Oil Painting,"(Extremely Detailed Oil Painting:1.2), glow effects, godrays, Hand drawn, render, 8k, octane render, cinema 4d, blender, dark, atmospheric 4k ultra detailed, cinematic sensual, Sharp focus, humorous illustration, big depth of field, Masterpiece, colors, 3d octane render, 4k, concept art, trending on artstation, hyperrealistic, Vivid colors, extremely detailed CG unity 8k wallpaper, trending on ArtStation, trending on CGSociety, Intricate, High Detail, dramatic, absurdes",,
Indie Game,"Indie game art,({prompt}), (Vector Art, Borderlands style, Arcane style, Cartoon style), Line art, Disctinct features, Hand drawn, Technical illustration, Graphic design, Vector graphics, High contrast, Precision artwork, Linear compositions, Scalable artwork, Digital art, cinematic sensual, Sharp focus, humorous illustration, big depth of field, Masterpiece, trending on artstation, Vivid colors, trending on ArtStation, trending on CGSociety, Intricate, Low Detail, dramatic",,
Original Photo Style,"Photorealistic, Hyperrealistic, Hyperdetailed, analog style, detailed skin, matte skin, soft lighting, subsurface scattering, realistic, heavy shadow, masterpiece, best quality, ultra realistic, 8k, golden ratio, Intricate, High Detail, film photography, soft focus",,
Black and White Film Noir,"(b&w, Monochromatic, Film Photography:1.3),  Photorealistic, Hyperrealistic, Hyperdetailed, film noir, analog style, soft lighting, subsurface scattering, realistic, heavy shadow, masterpiece, best quality, ultra realistic, 8k, golden ratio, Intricate, High Detail, film photography, soft focus",,
Isometric Rooms,"Tiny cute isometric {prompt} in a cutaway box, soft smooth lighting, soft colors, 100mm lens, 3d blender render",,
Space Hologram,"hologram of {prompt} floating in space, a vibrant digital illustration, dribbble, quantum wavetracing, black background, behance hd",,
Cute Creatures,"3d fluffy {prompt}, closeup cute and adorable, cute big circular reflective eyes, long fuzzy fur, Pixar render, unreal engine cinematic smooth, intricate detail, cinematic",,
Realistic Photo Portraits,"RAW candid cinema, 16mm, color graded portra 400 film, remarkable color, ultra realistic, textured skin, remarkable detailed pupils, realistic dull skin noise, visible skin detail, skin fuzz, dry skin, shot with cinematic camera",,
Professional Scenic Photographs,"long shot scenic professional photograph of {prompt}, perfect viewpoint, highly detailed, wide-angle lens, hyper realistic, with dramatic sky, polarizing filter, natural lighting, vivid colors, everything in sharp focus, HDR, UHD, 64K",,
Manga,"(Manga Style, Yusuke Murata, Satoshi Kon, Ken Sugimori, Hiromu Arakawa), Pencil drawing, (B&W:1.2), Low detail, sketch, concept art, Anime style, line art, webtoon, manhua, chalk, hand drawn, defined lines, simple shades, simplistic, manga page, minimalistic, High contrast, Precision artwork, Linear compositions, Scalable artwork, Digital art, High Contrast Shadows",,
Anime,"(Anime Scene, Toonshading, Satoshi Kon, Ken Sugimori, Hiromu Arakawa:1.2), (Anime Style, Manga Style:1.3), Low detail, sketch, concept art, line art, webtoon, manhua, hand drawn, defined lines, simple shades, minimalistic, High contrast, Linear compositions, Scalable artwork, Digital art, High Contrast Shadows, glow effects, humorous illustration, big depth of field, Masterpiece, colors, concept art, trending on artstation, Vivid colors, dramatic",,

____Add Ons____,,,,
Skin Enhancer,"detailed skin texture, (blush:0.5), (goosebumps:0.5), subsurface scattering",,
Skin Enhancer (clean),"detailed skin texture, (blush:0.2), (goosebumps:0.3), subsurface scattering",,

_____NEGATIVE_____,,
Negative Illuminate,,"nrealfixer, nfixer, nartfixer"
Negative PS,,"((((ugly)))), (((duplicate))), ((morbid)), ((mutilated)), out of frame, extra fingers, mutated hands, ((poorly drawn hands)), ((poorly drawn face)), (((mutation))), (((deformed))), ((ugly)), blurry, ((bad anatomy)), (((bad proportions))), ((extra limbs)), cloned face, (((disfigured))), out of frame, ugly, extra limbs, (bad anatomy), gross proportions, (malformed limbs), ((missing arms)), ((missing legs)), (((extra arms))), (((extra legs))), mutated hands, (fused fingers), (too many fingers), (((long neck)))"
Negative Xr,,"(deformed, distorted, disfigured:1.3), stacked torsos, totem pole, poorly drawn, bad anatomy, wrong anatomy, extra limb, missing limb, floating limbs, (mutated hands and fingers:1.4), disconnected limbs, mutation, mutated, ugly, disgusting, blurry, amputation"
Negative-1,,"(deformed, distorted, disfigured:1.3), poorly drawn, bad anatomy, wrong anatomy, extra limb, missing limb, floating limbs, (mutated hands and fingers:1.4), disconnected limbs, mutation, mutated, ugly, disgusting, blurry, amputation, watermark, text"
Negative Realistic,,"(naked:1.3), ((3d, cartoon, anime, sketches)), (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), bad anatomy, out of view, cut off, ugly, deformed, mutated, ((old)), ((fat)),EasyNegative, paintings, sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, glans,extra fingers,fewer fingers,, (ugly eyes"
Negative Realistic2,,"cartoon, painting, illustration, (worst quality, low quality, normal quality:2), (deformed, distorted, disfigured:1.3), poorly drawn, bad anatomy, wrong anatomy, extra limb, missing limb, floating limbs, (mutated hands and fingers:1.4), disconnected limbs, mutation, mutated, ugly, disgusting, blurry, amputation"
EasyNegative,,EasyNegative
MonkeyNegative,,"(((person))), (((portrait))), EasyNegative, paintings, sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, glans,extra fingers,fewer fingers,, (ugly eyes"
Deepnegative,,deepnegative
Bad_prompt,,bad_prompt
_____НЕ СОРТИРОВАННЫЕ_____,,
Indoor,indoor,
Outdoor,outdoor,
At night,at night,
In the park,in the park,
Paul zizka,Paul zizka,
_____ОСНОВНЫЕ_____,,
16-Bit,16-Bit,
8k,8k,
hdr,hdr,
epic realistic,epic realistic,
Realistic gritty photo,realistic gritty photo,
award-winning,award-winning,
beautiful,beautiful,
biomorphic,biomorphic,
hypomorphic,hypomorphic,
chromatic aberration,chromatic aberration,
eye strain,eye strain,
high contrast,high contrast,
ultra detailed,ultra detailed,
cinematic,cinematic,
ultrarealistic,ultrarealistic,
realistic,realistic,
intricate details,intricate details,
detailed,detailed,
masterpiece,masterpiece,
ornate,ornate,
photorealistic,photorealistic,
RTX,RTX,
Octane,octane,
Unreal,unreal,
polygonal,polygonal,
3d,3d,
primary colors,primary colors,
vibrant color scheme,vibrant color scheme,
acid colors,acid colors,
Color splash style,color splash style,
Studio,Studio,
Threesome,threesome,
_____ОПИСАНИЕ_____,,
elegant,elegant,
Chubby,chubby,
furry,furry,
glass,glass,
crystallized,crystallized,
dark,dark,
dystopian,dystopian,
metallic,metallic,
messy,messy,
microscopic,microscopic,
nebulous,nebulous,
overgrown,overgrown,
sci-fi,sci-fi,
_____ПЕРСПЕКТИВА_____,,
Closeup,closeup,
POV shot,POV shot,
Satellite imagery,Satellite imagery,
Drone,Drone,
From Above,From Above,
Long Shot,Long Shot,
Low Angle,Low Angle,
Overhead View,Overhead View,
Panorama,Panorama,
Isometric,Isometric,
Full Shot,Full Shot,
From Behind,From Behind,
From Below,From Below,
Landscape,Landscape,
Portrait,Portrait,
Mid body portrait,mid body portrait,
Macro,Macro,
_____ПЛАТФОРМЫ_____,,
Midjourney,Midjourney,
artstation,artstation,
cgsociety,cgsociety,
Flickr,Flickr,
Behance,Behance,
DeviantArt,DeviantArt,
Unsplash,Unsplash,
_____ЯРКИЙ СВЕТ_____,,
global illumination,global illumination,
highlighted,highlighted,
iridescence,iridescence,
polarized light,polarized light,
rim light,rim light,
volumetric lighting,volumetric lighting,
soft light,soft light,
studio light,studio light,
sun light,sun light,
dramatic light,dramatic light,
dynamic lighting,dynamic lighting,
ambient lighting,ambient lighting,
_____ТЕМНЫЙ СВЕТ_____,,
golden hour,golden hour,
lighting,lighting,
moody lighting,moody lighting,
night time,night time,
shadow,shadow,
dense light rays,dense light rays,
backlight,backlight,
beautifully lit,beautifully lit,
candle light,candle light,
cinematic light,cinematic light,
chiaroscuro,chiaroscuro,
dark shot,dark shot,
_____ИЗЛУЧЕНИЕ_____,,
bioluminiscent,bioluminiscent,
glowing,glowing,
glow in the dark,glow in the dark,
glowwave,glowwave,
holographic,holographic,
holography,holography,
luminous,luminous,
neon,neon,
neon pastel,neon pastel,
radiant,radiant,
sparkling,sparkling,
_____БЛЕСК_____,,
glistening,glistening,
refraction,refraction,
_____CAMERA_____,,
Gopro,Gopro,
iPhone,iPhone,
Leica R7,Leica R7,
Canon EOS 5D,Canon EOS 5D,
Kodak PIXPRO,Kodak PIXPRO,
Nikon D850,Nikon D850,
Sony a6600,Sony a6600,
Fujifilm,Fujifilm,
Polaroid style,Polaroid style,
